hold,group,option,trades,avg premium % spot,avg strike % spot,avg return on premium,median,expired worthless,hit rate,best
1 month,G1,ATM call,702,0.04361127495369558,1.0,0.1135733243243512,-0.5185708894508146,0.4116809116809117,0.4045584045584046,15.033048184104896
1 month,G1,30-delta call,702,0.019042058106760684,1.0654240746024262,0.0265689122587255,-1.0,0.6894586894586895,0.22792022792022792,32.09222589338182
1 month,G2,ATM put,589,0.041625586207042785,1.0,-0.28102871524207274,-1.0,0.5602716468590832,0.28183361629881154,6.650001199184284
1 month,G3,ATM call,640,0.046178333832549504,1.0,0.1655849859450631,-0.49081188958430944,0.41875,0.4234375,5.841512911780086
1 month,G3,30-delta call,640,0.020056121427244757,1.0712814408086817,0.0981573607423718,-1.0,0.675,0.2625,12.090983164437297
1 month,G4,ATM put,613,0.028153220033877262,1.0,-0.051463837224623256,-1.0,0.5399673735725938,0.3132137030995106,7.822412747509178
3 weeks,G1,ATM call,991,0.03666743893332216,1.0,0.06302945828281559,-0.6691089345319983,0.45610494450050454,0.38143289606458125,11.696834737620911
3 weeks,G1,30-delta call,991,0.016209817728606205,1.0539142334778873,0.0077324456945302225,-1.0,0.6962663975782039,0.24117053481331988,24.66595992233595
3 weeks,G2,ATM put,837,0.034748113780342614,1.0,-0.16766276384117615,-1.0,0.5304659498207885,0.2974910394265233,18.09878653287751
3 weeks,G3,ATM call,880,0.03941881769621963,1.0,0.18103840282356182,-0.4149592125764822,0.3977272727272727,0.425,8.587394311305294
3 weeks,G3,30-delta call,880,0.017262308237077743,1.0607803246546244,0.109187029204355,-1.0,0.6647727272727273,0.25227272727272726,17.39308055901928
3 weeks,G4,ATM put,873,0.023303579912542116,1.0,-0.15778420956834868,-1.0,0.5601374570446735,0.26575028636884307,13.484615882668761
